customer_id,age,gender,province,income,join_date,churn_flag
1,55,M,AB,108621,2023-09-15,False
2,38,M,ON,56735,2025-10-14,False
3,23,M,BC,88830,2025-05-23,True
4,29,F,QC,49301,2026-03-16,True
5,63,F,AB,30941,2024-01-08,True
6,29,F,AB,48770,2025-09-24,True
7,31,F,ON,110386,2023-10-30,True
8,49,F,BC,63704,2025-05-12,False
9,41,F,BC,106366,2025-05-28,True
10,41,F,BC,68138,2024-04-30,True
11,47,M,AB,60637,2024-02-29,False
12,57,F,QC,75573,2023-09-16,False
13,35,F,BC,75970,2023-12-19,True
14,23,F,BC,50738,2023-06-11,True
15,67,M,AB,34999,2025-08-29,False
16,19,F,BC,79981,2025-04-01,False
17,20,F,QC,76672,2025-11-14,False
18,26,M,ON,31843,2025-06-14,False
19,38,M,ON,48542,2023-07-11,False
20,57,F,AB,32982,2025-12-31,True
21,43,F,ON,41450,2024-10-31,True
22,50,M,BC,70393,2024-10-25,False
23,56,M,AB,79541,2024-12-22,False
24,50,M,AB,103645,2025-12-21,True
25,20,F,AB,68085,2024-01-12,True
26,60,F,BC,40919,2025-02-24,False
27,30,F,AB,58999,2023-11-27,False
28,22,F,ON,100026,2024-05-19,False
29,43,F,BC,67681,2024-11-16,True
30,32,F,BC,97328,2023-10-21,True
31,33,M,QC,104628,2023-11-20,False
32,45,M,AB,43956,2023-12-03,False
33,33,M,QC,95603,2025-06-04,False
34,43,F,AB,35660,2024-07-25,True
35,37,M,ON,50709,2025-10-10,False
36,51,F,QC,101096,2023-08-17,True
37,51,F,ON,107614,2024-01-18,False
38,31,M,BC,35375,2024-10-04,False
39,68,F,ON,56881,2024-08-25,True
40,55,M,BC,70992,2025-03-07,True
41,60,F,QC,49510,2026-01-30,False
42,34,F,AB,47003,2024-11-30,True
43,62,F,ON,47843,2024-08-13,True
44,46,F,QC,100437,2026-01-03,False
45,47,M,AB,65422,2023-08-20,True
46,67,M,ON,89095,2024-03-01,True
47,37,M,ON,57495,2023-11-15,True
48,58,F,ON,97717,2023-09-17,True
49,64,M,ON,82382,2025-11-27,True
50,55,M,ON,101531,2025-11-21,True
51,59,F,ON,46617,2023-12-13,False
52,60,M,ON,109917,2025-10-20,True
53,70,M,QC,85753,2024-12-20,False
54,58,F,ON,102776,2025-09-29,False
55,31,F,AB,70938,2023-11-21,True
56,59,M,AB,38166,2023-10-14,False
57,19,F,QC,72619,2025-07-26,True
58,64,F,BC,110817,2025-05-20,False
59,69,M,ON,109265,2024-10-04,True
60,27,F,ON,113840,2024-07-15,False
61,43,F,BC,35265,2024-12-31,True
62,20,M,QC,47485,2026-03-04,True
63,52,F,ON,118204,2023-06-17,False
64,57,F,QC,108352,2025-06-19,True
65,35,M,AB,56709,2024-08-09,True
66,36,F,AB,54787,2025-08-02,True
67,28,F,AB,116613,2023-09-21,False
68,52,M,QC,116358,2026-04-24,True
69,64,M,QC,103555,2025-11-17,True
70,48,F,ON,119783,2024-10-11,True
71,22,M,ON,99607,2024-11-25,False
72,33,F,BC,59147,2025-06-30,True
73,44,M,ON,93799,2025-11-15,False
74,21,M,QC,44196,2025-11-11,True
75,43,M,AB,99717,2025-11-18,True
76,26,F,ON,99181,2025-10-20,True
77,43,M,BC,100105,2024-02-21,False
78,18,F,ON,84015,2023-07-23,True
79,61,F,AB,109686,2025-06-24,True
80,28,M,ON,117392,2025-12-27,False
81,27,M,BC,73415,2024-08-26,True
82,63,M,ON,38363,2024-10-17,False
83,24,F,BC,54875,2026-03-15,False
84,63,F,ON,96838,2023-10-27,False
85,26,M,ON,47284,2024-12-12,True
86,69,M,AB,94443,2025-07-28,False
87,45,M,ON,46939,2023-11-13,True
88,68,F,AB,85328,2025-08-15,True
89,26,M,ON,47651,2025-04-13,True
90,30,M,BC,99940,2024-02-11,False
91,29,F,QC,102545,2026-03-26,False
92,53,F,QC,30889,2024-12-06,True
93,27,M,AB,98749,2025-01-14,False
94,22,F,QC,56871,2024-03-14,True
95,66,M,BC,113462,2025-07-18,False
96,51,F,AB,63890,2025-03-23,False
97,21,F,QC,97134,2024-09-12,True
98,23,M,AB,110518,2024-08-11,True
99,61,F,AB,71847,2024-01-16,True
100,56,M,BC,101949,2025-07-19,True
