transaction_id,customer_id,amount,transaction_type,transaction_date
1,70,234.28,Credit,2025-05-16
2,879,905.1,Credit,2025-05-03
3,28,4462.3,Credit,2025-01-06
4,811,3823.53,Debit,2025-01-23
5,731,4364.1,Credit,2025-06-08
6,103,1791.3,Credit,2025-10-27
7,547,2861.02,Debit,2025-12-15
8,171,2233.13,Credit,2026-05-13
9,80,2211.4,Credit,2024-11-01
10,910,4316.91,Debit,2024-11-26
11,642,2926.75,Credit,2025-07-01
12,347,635.15,Credit,2025-02-02
13,858,898.58,Debit,2025-01-27
14,935,1872.47,Credit,2025-12-29
15,540,546.32,Debit,2026-05-05
16,958,1783.05,Debit,2026-03-14
17,629,2154.75,Debit,2024-08-27
18,762,4094.88,Debit,2024-10-02
19,391,864.1,Debit,2026-05-16
20,861,1343.45,Credit,2025-12-12
21,685,1525.32,Credit,2025-11-22
22,151,3073.2,Credit,2024-06-06
23,199,3992.05,Credit,2025-06-25
24,615,3006.93,Credit,2024-08-15
25,305,1728.58,Debit,2025-01-21
26,558,776.65,Debit,2024-06-24
27,623,3085.67,Credit,2024-12-21
28,571,3706.35,Debit,2025-04-18
29,526,3867.77,Debit,2026-04-16
30,178,3533.07,Credit,2026-01-21
31,309,4388.73,Credit,2025-01-25
32,444,327.8,Credit,2024-06-19
33,483,2390.77,Debit,2026-05-17
34,529,1505.65,Credit,2025-08-16
35,440,129.26,Credit,2025-09-01
36,212,260.7,Credit,2025-04-15
37,82,2441.05,Debit,2024-12-10
38,630,3993.96,Debit,2025-02-23
39,688,777.48,Credit,2024-12-29
40,456,2602.2,Credit,2025-11-20
41,363,844.07,Credit,2024-07-02
42,206,338.2,Credit,2025-09-15
43,294,2376.3,Credit,2025-11-05
44,124,2253.52,Debit,2025-03-25
45,25,4751.83,Credit,2025-07-17
46,173,1133.5,Credit,2025-09-26
47,497,1128.15,Credit,2024-11-22
48,759,459.72,Credit,2025-08-08
49,601,2487.95,Credit,2024-07-01
50,459,1428.49,Debit,2024-12-11
51,86,4409.39,Debit,2025-01-29
52,652,3848.33,Credit,2026-03-26
53,812,2570.66,Debit,2025-06-15
54,197,571.3,Debit,2026-01-21
55,656,2241.84,Debit,2025-01-11
56,20,632.54,Debit,2025-10-24
57,91,3091.56,Credit,2024-10-10
58,749,4108.26,Credit,2024-09-01
59,867,3189.61,Debit,2025-01-07
60,557,12.91,Credit,2024-11-04
61,868,2147.64,Credit,2026-03-07
62,350,886.36,Credit,2024-09-24
63,682,970.52,Debit,2026-03-09
64,45,2681.61,Debit,2025-12-14
65,846,819.3,Credit,2025-09-17
66,334,752.12,Credit,2025-08-28
67,604,4507.06,Debit,2024-09-07
68,781,631.69,Credit,2025-10-06
69,751,1070.9,Credit,2025-12-08
70,280,3077.69,Credit,2026-02-20
71,45,1011.33,Debit,2024-07-04
72,98,464.78,Credit,2025-01-11
73,358,3959.64,Debit,2024-06-12
74,380,4089.3,Debit,2024-12-20
75,564,1455.24,Debit,2025-01-28
76,483,151.05,Debit,2025-01-02
77,822,2093.45,Credit,2026-02-24
78,871,1524.66,Credit,2024-11-26
79,70,3635.53,Credit,2025-09-11
80,470,4919.6,Debit,2024-09-03
81,345,756.43,Credit,2024-08-04
82,836,964.04,Debit,2026-05-21
83,296,2196.26,Credit,2024-09-19
84,211,4841.12,Credit,2024-11-01
85,531,2781.29,Credit,2025-04-09
86,694,1856.54,Credit,2025-12-02
87,669,4472.09,Debit,2025-03-20
88,434,3115.94,Debit,2024-11-20
89,421,1138.36,Debit,2025-04-25
90,167,540.59,Credit,2024-08-30
91,578,2776.62,Debit,2024-12-03
92,576,375.19,Credit,2025-07-06
93,38,4332.93,Credit,2024-12-20
94,814,4393.2,Credit,2024-07-16
95,897,1420.49,Debit,2024-09-17
96,137,4358.52,Credit,2025-06-16
97,656,4220.47,Debit,2026-03-01
98,59,2557.21,Credit,2025-01-06
99,714,4822.64,Debit,2024-12-18
100,836,1950.53,Credit,2024-07-30
101,659,3290.98,Debit,2025-02-03
102,508,4352.63,Credit,2026-02-14
103,371,2620.06,Credit,2025-12-01
104,488,2924.86,Credit,2024-08-07
105,676,4551.07,Debit,2025-12-20
106,89,855.07,Debit,2024-10-13
107,403,2739.08,Credit,2024-07-29
108,432,4407.43,Credit,2025-06-28
109,267,1831.11,Credit,2025-01-14
110,446,470.44,Credit,2026-02-09
111,520,4258.82,Credit,2025-02-13
112,328,4509.93,Debit,2024-06-27
113,427,1090.53,Debit,2024-06-24
114,789,3026.54,Credit,2026-01-29
115,967,2363.0,Credit,2026-02-10
116,34,760.82,Credit,2025-04-27
117,577,1228.79,Debit,2025-05-19
118,979,2285.12,Debit,2026-05-17
119,991,1757.33,Debit,2025-06-05
120,514,2683.46,Credit,2024-11-24
121,135,1426.05,Debit,2024-08-24
122,440,330.02,Credit,2024-06-12
123,103,4879.06,Debit,2025-07-26
124,449,3245.0,Credit,2026-02-27
125,18,484.93,Credit,2026-04-24
126,210,584.49,Debit,2026-01-27
127,372,2485.12,Credit,2026-04-21
128,32,2526.36,Credit,2025-07-14
129,403,4997.85,Debit,2025-08-05
130,312,470.15,Debit,2026-03-26
131,82,1201.81,Debit,2025-08-26
132,783,1948.62,Credit,2025-02-17
133,783,3595.69,Debit,2025-04-08
134,733,3178.86,Credit,2026-02-10
135,711,454.36,Debit,2026-03-14
136,221,4785.23,Credit,2026-03-12
137,938,2906.33,Debit,2025-01-12
138,650,1756.33,Credit,2024-07-18
139,299,1366.68,Credit,2026-02-17
140,336,3163.72,Credit,2025-11-19
141,885,4765.89,Debit,2025-06-04
142,942,780.43,Credit,2025-07-23
143,565,2116.08,Debit,2025-10-27
144,595,1598.95,Debit,2025-08-13
145,499,4141.07,Credit,2026-02-14
146,638,4529.73,Credit,2026-03-03
147,69,2296.82,Credit,2024-11-02
148,595,2511.56,Credit,2025-04-21
149,487,4263.88,Credit,2025-05-12
150,726,3013.66,Credit,2025-11-20
151,705,167.99,Debit,2025-02-26
152,896,4057.51,Credit,2025-07-31
153,201,1588.2,Credit,2024-05-29
154,389,1516.05,Credit,2024-07-01
155,68,4104.88,Debit,2024-10-04
156,941,2735.61,Credit,2025-05-18
157,225,2287.85,Debit,2025-08-22
158,355,3999.03,Credit,2026-05-14
159,400,497.51,Debit,2025-09-01
160,845,4415.67,Credit,2025-05-01
161,936,2704.39,Debit,2025-06-11
162,251,683.95,Debit,2026-05-19
163,590,3826.72,Credit,2024-07-31
164,199,4498.16,Debit,2024-12-25
165,486,3870.79,Credit,2026-03-11
166,362,875.34,Credit,2026-01-23
167,417,1185.53,Debit,2025-12-17
168,880,3580.18,Credit,2026-04-25
169,555,1536.04,Credit,2026-03-04
170,182,2854.74,Debit,2025-04-28
171,572,4232.62,Debit,2026-01-14
172,844,2731.52,Debit,2025-03-22
173,457,3066.52,Credit,2025-09-30
174,593,1790.28,Debit,2025-05-20
175,883,3743.06,Credit,2024-10-12
176,834,1583.13,Debit,2024-07-12
177,315,3324.65,Debit,2025-03-23
178,623,274.59,Credit,2024-05-29
179,60,4947.84,Debit,2025-06-28
180,435,4214.23,Debit,2025-07-15
181,612,10.08,Debit,2025-01-12
182,546,937.55,Credit,2025-08-30
183,411,2147.11,Credit,2024-11-14
184,313,4431.3,Debit,2026-01-20
185,882,526.12,Credit,2026-04-30
186,534,679.7,Debit,2025-04-19
187,397,925.27,Credit,2024-09-19
188,467,1333.06,Credit,2024-10-19
189,8,469.21,Debit,2025-01-23
190,589,938.81,Credit,2025-05-26
191,327,3913.68,Debit,2024-08-10
192,118,3991.78,Credit,2025-10-22
193,246,4075.02,Debit,2025-12-24
194,663,1931.11,Credit,2024-06-16
195,222,2573.94,Debit,2026-03-03
196,764,4393.81,Debit,2026-03-08
197,866,2390.74,Credit,2026-03-12
198,831,957.45,Debit,2025-09-04
199,204,2397.53,Credit,2025-04-09
200,331,1661.8,Credit,2025-05-10
201,880,50.99,Credit,2026-01-17
202,604,3243.22,Credit,2025-12-15
203,714,1942.19,Credit,2026-04-22
204,263,3815.71,Debit,2025-02-26
205,228,391.19,Debit,2025-04-09
206,860,4418.84,Credit,2025-01-11
207,437,3396.16,Debit,2025-08-25
208,490,1643.71,Credit,2026-03-15
